var1(t-1),var2(t-1),var1(t+29),var2(t+29)
3639510000.0,2036.709961,4008530000.0,2050.629883
3407720000.0,2035.939941,3796350000.0,2057.139893
2809090000.0,2037.050049,3788620000.0,2058.689941
3822330000.0,2055.01001,3600200000.0,2084.389893
3590310000.0,2063.949951,3821980000.0,2064.459961
3715280000.0,2059.73999,3782390000.0,2064.110107
3749990000.0,2072.780029,3579880000.0,2046.609985
3485710000.0,2066.129883,3501360000.0,2066.659912
4154920000.0,2045.170044,4108960000.0,2047.209961
3750800000.0,2066.659912,4101320000.0,2047.630005
3801250000.0,2041.910034,3846770000.0,2040.040039
3359530000.0,2047.599976,3507650000.0,2052.320068
3567840000.0,2041.98999,3055480000.0,2048.040039
4239740000.0,2061.719971,3627340000.0,2076.060059
4191830000.0,2082.419922,3859160000.0,2090.540039
3765870000.0,2082.780029,3230990000.0,2090.100098
3701450000.0,2080.72998,3079150000.0,2099.060059
3316880000.0,2094.340088,4514410000.0,2096.949951
3896830000.0,2100.800049,3525170000.0,2099.330078
4184880000.0,2102.399902,3632720000.0,2105.26001
4175290000.0,2091.47998,3627780000.0,2099.129883
3790580000.0,2091.580078,3442020000.0,2109.409912
3319740000.0,2087.790039,3534730000.0,2112.129883
3557190000.0,2091.699951,3562060000.0,2119.120117
4100110000.0,2095.149902,3290320000.0,2115.47998
4309840000.0,2075.810059,3515010000.0,2096.070068
4704720000.0,2065.300049,3392030000.0,2079.060059
3841110000.0,2081.429932,3759770000.0,2075.320068
4173390000.0,2063.370117,3544720000.0,2071.5
4058560000.0,2051.120117,3628280000.0,2077.98999
4008530000.0,2050.629883,4952630000.0,2071.219971
3796350000.0,2057.139893,3467440000.0,2083.25
3788620000.0,2058.689941,3232880000.0,2088.899902
3600200000.0,2084.389893,3168160000.0,2085.449951
3821980000.0,2064.459961,3297940000.0,2113.320068
3782390000.0,2064.110107,7597450000.0,2037.410034
3579880000.0,2046.609985,5431220000.0,2000.540039
3501360000.0,2066.659912,4385810000.0,2036.089966
4108960000.0,2047.209961,4241740000.0,2070.77002
4101320000.0,2047.630005,4622820000.0,2098.860107
3846770000.0,2040.040039,3458890000.0,2102.949951
3507650000.0,2052.320068,3658380000.0,2088.550049
3055480000.0,2048.040039,3909380000.0,2099.72998
3627340000.0,2076.060059,3604550000.0,2097.899902
3859160000.0,2090.540039,3607500000.0,2129.899902
3230990000.0,2090.100098,3253340000.0,2137.159912
3079150000.0,2099.060059,4097820000.0,2152.139893
4514410000.0,2096.949951,3502320000.0,2152.429932
3525170000.0,2099.330078,3465610000.0,2163.75
3632720000.0,2105.26001,3122600000.0,2161.73999
3627780000.0,2099.129883,3009310000.0,2166.889893
3442020000.0,2109.409912,2968340000.0,2163.780029
3534730000.0,2112.129883,3211860000.0,2173.02002
3562060000.0,2119.120117,3438900000.0,2165.169922
3290320000.0,2115.47998,3023280000.0,2175.030029
3515010000.0,2096.070068,3057240000.0,2168.47998
3392030000.0,2079.060059,3442350000.0,2169.179932
3759770000.0,2075.320068,3995500000.0,2166.580078
3544720000.0,2071.5,3664240000.0,2170.060059
3628280000.0,2077.98999,4038840000.0,2173.600098
4952630000.0,2071.219971,3505990000.0,2170.840088
3467440000.0,2083.25,3848750000.0,2157.030029
3232880000.0,2088.899902,3786530000.0,2163.790039
3168160000.0,2085.449951,3709200000.0,2164.25
3297940000.0,2113.320068,3663070000.0,2182.870117
7597450000.0,2037.410034,3327550000.0,2180.889893
5431220000.0,2000.540039,3334300000.0,2181.73999
4385810000.0,2036.089966,3254950000.0,2175.48999
4241740000.0,2070.77002,3423160000.0,2185.790039
4622820000.0,2098.860107,3000660000.0,2184.050049
3458890000.0,2102.949951,3078530000.0,2190.149902
3658380000.0,2088.550049,3196400000.0,2178.149902
3909380000.0,2099.72998,3388910000.0,2182.219971
3604550000.0,2097.899902,3300570000.0,2187.02002
3607500000.0,2129.899902,3084800000.0,2183.870117
3253340000.0,2137.159912,2777550000.0,2182.639893
4097820000.0,2152.139893,3041490000.0,2186.899902
3502320000.0,2152.429932,3148280000.0,2175.439941
3465610000.0,2163.75,2969310000.0,2172.469971
3122600000.0,2161.73999,3342340000.0,2169.040039
3009310000.0,2166.889893,2654780000.0,2180.379883
2968340000.0,2163.780029,3006800000.0,2176.120117
3211860000.0,2173.02002,3766390000.0,2170.949951
3438900000.0,2165.169922,3392120000.0,2170.860107
3023280000.0,2175.030029,3091120000.0,2179.97998
3057240000.0,2168.47998,3447650000.0,2186.47998
3442350000.0,2169.179932,3319420000.0,2186.159912
3995500000.0,2166.580078,3727840000.0,2181.300049
3664240000.0,2170.060059,4233960000.0,2127.810059
4038840000.0,2173.600098,4010480000.0,2159.040039
3505990000.0,2170.840088,4141670000.0,2127.02002
3848750000.0,2157.030029,3664100000.0,2125.77002
3786530000.0,2163.790039,3373720000.0,2147.26001
3709200000.0,2164.25,5014360000.0,2139.159912
3663070000.0,2182.870117,3163000000.0,2139.120117
3327550000.0,2180.889893,3140730000.0,2139.76001
3334300000.0,2181.73999,3712090000.0,2163.120117
3254950000.0,2175.48999,3552830000.0,2177.179932
3423160000.0,2185.790039,3317190000.0,2164.689941
3000660000.0,2184.050049,3216170000.0,2146.100098
3078530000.0,2190.149902,3437770000.0,2159.929932
3196400000.0,2178.149902,3891460000.0,2171.370117
3388910000.0,2182.219971,4249220000.0,2151.129883
3300570000.0,2187.02002,4173340000.0,2168.27002
3084800000.0,2183.870117,3137550000.0,2161.199951
2777550000.0,2182.639893,3750890000.0,2150.48999
3041490000.0,2186.899902,3906550000.0,2159.72998
3148280000.0,2175.439941,3461550000.0,2160.77002
2969310000.0,2172.469971,3619890000.0,2153.73999
3342340000.0,2169.040039,2916550000.0,2163.659912
2654780000.0,2180.379883,3438270000.0,2136.72998
3006800000.0,2176.120117,2977100000.0,2139.179932
3766390000.0,2170.949951,3580450000.0,2132.550049
3392120000.0,2170.860107,3228150000.0,2132.97998
3091120000.0,2179.97998,2830390000.0,2126.5
3447650000.0,2186.47998,3170000000.0,2139.600098
3319420000.0,2186.159912,3362670000.0,2144.290039
3727840000.0,2181.300049,3337170000.0,2141.340088
4233960000.0,2127.810059,3448850000.0,2141.159912
4010480000.0,2159.040039,3357320000.0,2151.330078
4141670000.0,2127.02002,3751340000.0,2143.159912
3664100000.0,2125.77002,3775200000.0,2139.429932
3373720000.0,2147.26001,4204830000.0,2133.040039
5014360000.0,2139.159912,4019510000.0,2126.409912
3163000000.0,2139.120117,3922400000.0,2126.149902
3140730000.0,2139.76001,4532160000.0,2111.719971
3712090000.0,2163.120117,4248580000.0,2097.939941
3552830000.0,2177.179932,3886740000.0,2088.659912
3317190000.0,2164.689941,3837860000.0,2085.179932
3216170000.0,2146.100098,3736060000.0,2131.52002
3437770000.0,2159.929932,3916930000.0,2139.560059
3891460000.0,2171.370117,6264150000.0,2163.26001
4249220000.0,2151.129883,6451640000.0,2167.47998
4173340000.0,2168.27002,4988050000.0,2164.449951
3137550000.0,2161.199951,5367200000.0,2164.199951
3750890000.0,2150.48999,4543860000.0,2180.389893
3906550000.0,2159.72998,3830590000.0,2176.939941
3461550000.0,2160.77002,3809160000.0,2187.120117
3619890000.0,2153.73999,3572400000.0,2181.899902
2916550000.0,2163.659912,3607010000.0,2198.179932
3438270000.0,2136.72998,3957940000.0,2202.939941
2977100000.0,2139.179932,3418640000.0,2204.719971
3580450000.0,2132.550049,1584600000.0,2213.350098
3228150000.0,2132.97998,3505650000.0,2201.719971
2830390000.0,2126.5,3706560000.0,2204.659912
3170000000.0,2139.600098,5533980000.0,2198.810059
3362670000.0,2144.290039,5063740000.0,2191.080078
3337170000.0,2141.340088,3779500000.0,2191.949951
3448850000.0,2141.159912,3895230000.0,2204.709961
3357320000.0,2151.330078,3855320000.0,2212.22998
3751340000.0,2143.159912,4501820000.0,2241.350098
3775200000.0,2139.429932,4200580000.0,2246.189941
4204830000.0,2133.040039,3884480000.0,2259.530029
4019510000.0,2126.409912,4034510000.0,2256.959961
3922400000.0,2126.149902,3857590000.0,2271.719971
4532160000.0,2111.719971,4406970000.0,2253.280029
4248580000.0,2097.939941,4168200000.0,2262.030029
3886740000.0,2088.659912,5920340000.0,2258.070068
3837860000.0,2085.179932,3248370000.0,2262.530029
3736060000.0,2131.52002,3298780000.0,2270.76001
3916930000.0,2139.560059,2852230000.0,2265.179932
6264150000.0,2163.26001,2876320000.0,2260.959961
6451640000.0,2167.47998,2020550000.0,2263.790039
4988050000.0,2164.449951,1987080000.0,2268.879883
5367200000.0,2164.199951,2392360000.0,2249.919922
4543860000.0,2180.389893,2336370000.0,2249.26001
3830590000.0,2176.939941,2670900000.0,2238.830078
3809160000.0,2187.120117,3770530000.0,2257.830078
3572400000.0,2181.899902,3764890000.0,2270.75
3607010000.0,2198.179932,3761820000.0,2269.0
3957940000.0,2202.939941,3339890000.0,2276.97998
3418640000.0,2204.719971,3217610000.0,2268.899902
1584600000.0,2213.350098,3638790000.0,2268.899902
3505650000.0,2201.719971,3620410000.0,2275.320068
3706560000.0,2204.659912,3462130000.0,2270.439941
5533980000.0,2198.810059,3081270000.0,2274.639893
5063740000.0,2191.080078,3584990000.0,2267.889893
3779500000.0,2191.949951,3315250000.0,2271.889893
3895230000.0,2204.709961,3165970000.0,2263.689941
3855320000.0,2212.22998,3524970000.0,2271.310059
4501820000.0,2241.350098,3152710000.0,2265.199951
