b'ticker,dimension,datekey,revenue\n'
b'CSCO,ART,2011-11-22,43724000000\n'
b'CSCO,ART,2012-02-21,44844000000\n'
b'CSCO,ART,2012-05-23,45566000000\n'
b'CSCO,ART,2012-09-12,46061000000\n'
b'CSCO,ART,2012-11-20,46681000000\n'
b'CSCO,ART,2013-02-19,47252000000\n'
b'CSCO,ART,2013-05-21,47880000000\n'
b'CSCO,ART,2013-09-10,48607000000\n'
b'CSCO,ART,2013-11-22,48816000000\n'
b'CSCO,ART,2014-02-20,47873000000\n'
b'CSCO,ART,2014-05-22,47202000000\n'
b'CSCO,ART,2014-09-09,47142000000\n'
b'CSCO,ART,2014-11-20,47302000000\n'
b'CSCO,ART,2015-02-18,48083000000\n'
b'CSCO,ART,2015-05-20,48675000000\n'
b'CSCO,ART,2015-09-08,49161000000\n'
b'CSCO,ART,2015-11-19,49598000000\n'
b'CSCO,ART,2016-02-18,49589000000\n'
b'CSCO,ART,2016-05-24,49452000000\n'
b'CSCO,ART,2016-09-08,49247000000\n'
b'CSCO,ART,2016-11-22,48917000000\n'
b'CSCO,ART,2017-02-21,48570000000\n'
b'CSCO,ART,2017-05-23,48510000000\n'
b'CSCO,ARY,2001-09-24,22293000000\n'
b'CSCO,ARY,2002-09-18,18915000000\n'
b'CSCO,ARY,2003-09-10,18878000000\n'
b'CSCO,ARY,2004-09-20,22045000000\n'
b'CSCO,ARY,2005-09-19,24801000000\n'
b'CSCO,ARY,2006-09-18,28484000000\n'
b'CSCO,ARY,2007-09-18,34922000000\n'
b'CSCO,ARY,2008-09-15,39540000000\n'
b'CSCO,ARY,2009-09-11,36117000000\n'
b'CSCO,ARY,2010-09-21,40040000000\n'
b'CSCO,ARY,2011-09-14,43218000000\n'
b'CSCO,ARY,2012-09-12,46061000000\n'
b'CSCO,ARY,2013-09-10,48607000000\n'
b'CSCO,ARY,2014-09-09,47142000000\n'
b'CSCO,ARY,2015-09-08,49161000000\n'
b'CSCO,ARY,2016-09-08,49247000000\n'
b'CSCO,MRQ,2001-07-28,4298000000\n'
b'CSCO,MRQ,2001-10-27,4448000000\n'
b'CSCO,MRQ,2002-01-26,4816000000\n'
b'CSCO,MRQ,2002-04-27,4822000000\n'
b'CSCO,MRQ,2002-07-27,4829000000\n'
b'CSCO,MRQ,2002-10-26,4845000000\n'
b'CSCO,MRQ,2003-01-25,4713000000\n'
b'CSCO,MRQ,2003-04-26,4618000000\n'
b'CSCO,MRQ,2003-07-26,4702000000\n'
b'CSCO,MRQ,2003-10-25,5101000000\n'
b'CSCO,MRQ,2004-01-24,5398000000\n'
b'CSCO,MRQ,2004-05-01,5620000000\n'
b'CSCO,MRQ,2004-07-31,5926000000\n'
b'CSCO,MRQ,2004-10-30,5971000000\n'
b'CSCO,MRQ,2005-01-29,6062000000\n'
b'CSCO,MRQ,2005-04-30,6187000000\n'
b'CSCO,MRQ,2005-07-30,6581000000\n'
b'CSCO,MRQ,2005-10-29,6550000000\n'
b'CSCO,MRQ,2006-01-28,6628000000\n'
b'CSCO,MRQ,2006-04-29,7322000000\n'
b'CSCO,MRQ,2006-07-29,7984000000\n'
b'CSCO,MRQ,2006-10-28,8184000000\n'
b'CSCO,MRQ,2007-01-27,8439000000\n'
b'CSCO,MRQ,2007-04-28,8866000000\n'
b'CSCO,MRQ,2007-07-28,9433000000\n'
b'CSCO,MRQ,2007-10-27,9554000000\n'
b'CSCO,MRQ,2008-01-26,9831000000\n'
b'CSCO,MRQ,2008-04-26,9791000000\n'
b'CSCO,MRQ,2008-07-26,10364000000\n'
b'CSCO,MRQ,2008-10-25,10331000000\n'
b'CSCO,MRQ,2009-01-24,9089000000\n'
b'CSCO,MRQ,2009-04-25,8162000000\n'
b'CSCO,MRQ,2009-07-25,8535000000\n'
b'CSCO,MRQ,2009-10-24,9021000000\n'
b'CSCO,MRQ,2010-01-23,9815000000\n'
b'CSCO,MRQ,2010-05-01,10368000000\n'
b'CSCO,MRQ,2010-07-31,10836000000\n'
b'CSCO,MRQ,2010-10-30,10750000000\n'
b'CSCO,MRQ,2011-01-29,10407000000\n'
b'CSCO,MRQ,2011-04-30,10866000000\n'
b'CSCO,MRQ,2011-07-30,11195000000\n'
b'CSCO,MRQ,2011-10-29,11256000000\n'
b'CSCO,MRQ,2012-01-28,11527000000\n'
b'CSCO,MRQ,2012-04-28,11588000000\n'
b'CSCO,MRQ,2012-07-28,11690000000\n'
b'CSCO,MRQ,2012-10-27,11876000000\n'
